time,distance,strafes,pre,max,height,sync,crouchjump,-forward
1669132267,276.7296,10,274.851,360,56.9,85,yes,yes
1669132269,281.5958,10,275.851,361,56.9,81,yes,yes
1669132271,277.5737,10,276.101,356,56.9,70,yes,yes
1669132273,275.7461,10,275.351,351,56.9,65,yes,yes
1669132280,272.3443,10,275.601,342,56.9,72,yes,yes
1669132282,275.8557,10,275.351,355,56.9,80,yes,yes
1669132284,274.0377,10,272.351,348,56.9,74,yes,yes
1669132286,276.9764,10,272.851,356,56.9,82,yes,yes
1669132303,276.8934,8,275.351,352,56.9,74,yes,yes
1669132306,277.4185,10,275.351,356,56.9,84,yes,yes
1669132310,280.4492,10,274.601,360,56.9,84,yes,yes
1669132312,279.7998,10,275.601,360,56.9,81,yes,yes
1669132314,276.9458,10,274.851,355,56.9,71,yes,yes
1669132316,276.4947,10,272.350,354,56.9,81,yes,yes
1669132318,280.2335,10,274.601,366,56.9,88,yes,yes
1669132320,266.1749,10,275.601,354,56.9,69,yes,yes
1669132322,278.9338,10,275.112,351,56.9,73,yes,yes
1669132324,271.9331,10,274.851,344,56.9,61,yes,yes
1669132341,270.2846,8,276.101,342,56.9,71,yes,yes
1669132367,270.1966,10,274.601,341,56.9,57,yes,yes
1669132369,276.7934,10,274.601,361,56.9,83,yes,yes
1669132371,278.5305,10,275.351,366,56.9,83,yes,yes
1669132373,279.5042,10,274.851,364,56.9,79,yes,yes
1669132375,276.7789,10,274.601,352,56.9,70,yes,yes
1669132379,274.7260,10,274.226,356,56.9,84,yes,yes
1669132381,282.2156,10,275.351,368,56.9,86,yes,yes
1669132384,273.7885,10,274.851,342,56.9,58,yes,yes
1669132386,277.8434,10,274.851,361,56.9,83,yes,yes
1669132388,267.0610,10,275.351,323,56.9,39,yes,yes
1669132390,273.1781,10,274.851,343,56.9,59,yes,yes
1669132392,278.4424,10,275.351,352,56.9,78,yes,yes
1669132394,269.6424,10,274.726,335,56.9,77,yes,yes
1669132396,277.2438,10,275.601,357,56.9,77,yes,yes
1669132439,274.4692,10,276.101,355,56.9,69,yes,yes
1669132441,273.4050,10,272.726,350,56.9,77,yes,yes
1669132443,276.9663,10,274.851,359,56.9,74,yes,yes
1669132445,280.4188,10,275.601,368,56.9,81,yes,yes
1669132447,273.8776,10,275.101,349,56.9,62,yes,yes
1669132449,275.2200,10,274.226,348,56.9,67,yes,yes
1669132451,277.9077,10,275.601,350,56.9,65,yes,yes
1669132467,266.9692,8,274.226,340,56.9,64,yes,yes
1669132469,273.0826,8,275.351,348,56.9,66,yes,yes
1669132471,278.9055,10,274.851,359,56.9,82,yes,yes
1669132473,281.1376,10,275.101,367,56.9,88,yes,yes
1669132475,262.0797,10,275.101,320,56.9,72,yes,yes
1669132477,278.4309,10,275.601,355,56.9,72,yes,yes
1669132479,277.0006,10,274.851,361,56.9,78,yes,yes
1669132481,277.3890,10,276.101,360,56.9,83,yes,yes
1669132483,280.5168,10,275.351,363,56.9,84,yes,yes
1669132485,278.8544,10,274.726,360,56.9,78,yes,yes
1669132487,277.9129,10,275.351,352,56.9,72,yes,yes
1669132489,277.5925,10,275.351,356,56.9,73,yes,yes
1669132491,273.9177,10,275.601,354,56.9,81,yes,yes
1669132494,275.4721,10,271.476,345,56.9,65,yes,yes
1669132496,276.5993,10,275.226,362,56.9,77,yes,yes
1669132498,280.1473,10,274.601,364,56.9,82,yes,yes
1669132500,275.6513,10,274.726,342,56.9,56,yes,yes
1669132502,278.7257,10,276.101,366,56.9,85,yes,yes
1669132504,262.3350,10,272.226,328,56.9,74,yes,yes
1669132506,270.0910,10,275.851,331,56.9,42,yes,yes
1669132508,275.1989,10,275.851,344,56.9,55,yes,yes
1669132510,275.3173,10,275.851,340,56.9,51,yes,yes
1669132512,274.6127,10,274.851,350,56.9,63,yes,yes
1669132515,269.0061,10,275.351,343,56.9,74,yes,yes
1669132517,276.4749,10,275.101,350,56.9,71,yes,yes
1669132519,281.4066,10,276.101,356,56.9,73,yes,yes
1669132521,279.8396,10,275.851,362,56.9,82,yes,yes
1669132523,279.9400,10,275.101,365,56.9,90,yes,yes
1669132525,270.8893,10,276.101,338,56.9,73,yes,yes
1669132529,276.8087,10,273.601,349,56.9,70,yes,yes
1669132531,275.2524,10,274.851,342,56.9,60,yes,yes
1669132537,276.7283,10,274.101,360,56.9,84,yes,yes
1669132539,280.6926,10,274.726,366,56.9,85,yes,yes
1669132541,262.7198,10,274.101,346,56.9,83,yes,yes
1669132548,277.1384,8,276.101,354,56.9,74,yes,yes
1669132550,272.6314,10,275.101,336,56.9,48,yes,yes
1669132554,273.7254,10,274.226,350,56.9,70,yes,yes
1669132556,264.5013,10,275.101,331,56.9,73,yes,yes
1669132558,278.3476,10,274.851,363,56.9,79,yes,yes
1669132560,274.3719,10,273.476,343,56.9,81,yes,yes
1669132562,275.9148,10,273.976,342,56.9,57,yes,yes
1669132564,266.2830,10,271.726,328,56.9,69,yes,yes
1669132566,279.4842,10,275.351,360,56.9,82,yes,yes
1669132568,277.3282,10,274.601,358,56.9,74,yes,yes
1669132570,277.8193,10,275.351,355,56.9,67,yes,yes
1669132572,276.5727,10,274.851,353,56.9,75,yes,yes
1669132576,277.1777,10,274.851,357,56.9,69,yes,yes
1669132580,271.9043,10,275.601,341,56.9,57,yes,yes
1669132582,280.0155,10,275.101,363,56.9,83,yes,yes
1669132584,279.3150,10,274.851,361,56.9,86,yes,yes
1669132586,280.8041,10,276.101,361,56.9,85,yes,yes
1669132588,275.9652,10,275.851,345,56.9,60,yes,yes
1669132590,279.8428,10,273.976,363,56.9,82,yes,yes
1669132592,256.7316,10,274.851,298,56.9,20,yes,yes
1669132616,277.3985,10,275.351,358,56.9,79,yes,yes
1669132617,281.0397,10,276.101,361,56.9,79,yes,yes
1669132619,268.0811,10,272.350,345,56.9,79,yes,yes
1669132624,278.4154,10,275.351,358,56.9,78,yes,yes
1669132626,272.6758,10,275.101,340,56.9,59,yes,yes
1669132628,266.3926,10,274.101,329,56.9,47,yes,yes
1669132630,278.0047,10,275.101,357,56.9,83,yes,yes
1669132632,277.9006,10,275.851,349,56.9,80,yes,yes
1669132634,268.3204,10,275.601,329,56.9,73,yes,yes
1669132636,279.5238,10,273.476,359,56.9,83,yes,yes
1669132638,264.5234,10,275.851,340,56.9,59,yes,yes
1669132642,278.9744,10,275.351,358,56.9,78,yes,yes
1669132644,277.7189,10,275.351,350,56.9,70,yes,yes
1669132646,280.5089,10,274.851,368,56.9,87,yes,yes
1669132648,279.3454,10,274.851,354,56.9,79,yes,yes
1669132650,276.1519,10,275.101,354,56.9,80,yes,yes
1669132652,276.7189,10,275.851,351,56.9,80,yes,yes
1669132654,280.6118,10,275.851,361,56.9,79,yes,yes
1669132656,261.8817,10,271.726,311,56.9,31,yes,yes
1669132658,263.1080,10,274.851,313,56.9,31,yes,yes
1669132660,277.0604,10,269.851,358,56.9,80,yes,yes
1669132662,273.0869,10,275.351,345,56.9,58,yes,yes
1669132664,275.8822,10,275.101,353,56.9,78,yes,yes
1669132667,277.9308,10,275.101,353,56.9,74,yes,yes
1669132669,264.5038,10,275.851,322,56.9,67,yes,yes
1669132678,280.0715,10,274.601,362,56.9,79,yes,yes
1669132680,278.3215,10,276.101,349,56.9,60,yes,yes
